id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,keywords,score
41352,MY-0021,small_airport,Meligan Airport,4.681666851,115.6980591,1800,Sabah,MY-12,12,Meligan,0,,,,,50
41353,MY-0022,small_airport,Meridi Airport,6.094166756,116.9700012,300,Sabah,MY-12,12,Meridi,0,,,,,50
31888,WMAU,small_airport,Mersing Airport,2.389148,103.874183,10,Johor,MY-01,1,Mersing,0,WMAU,WMAU,MEP,,50
41346,MY-0015,small_airport,Hunter (Morotai) Airport,4.4103899,117.7870026,175,Sabah,MY-12,12,Morotai,0,,,,,50
41318,MY-0051,closed,Mostyn Airport,4.616666,118.150002,200,Sabah,MY-12,12,Mostyn,0,,,,"MZS, MY-MZS",50
32665,WMAV,small_airport,Muar / Bakri Airport,2.05215,102.65795,20,Johor,MY-01,1,Muar,0,WMAV,,,,50
41354,MY-0023,small_airport,Nangoh Airport,5.966388702,117.2963867,100,Sabah,MY-12,12,Nangoh,0,,,,,50
41321,WBKP,small_airport,Pamol Airport,5.996571,117.404795,36,Sabah,MY-12,12,Pamol,0,WBKP,WBKP,PAY,,50
41355,MY-0024,small_airport,Pandewan Airport,4.974722385,116.4716644,1100,Sabah,MY-12,12,Pandewan,0,,,,,50
41356,MY-0025,small_airport,Pa Ramudu Airport,3.555431,115.49503,2800,Sarawak,MY-13,13,Paramudu,0,,,,,50
32669,WMBH,small_airport,Pengkalan Hulu Airport,5.695909,100.996797,1000,Perak,MY-08,8,Pengkalan Hulu,0,WMBH,,,,50
41316,LAC,small_airport,Layang-Layang Airport,7.37157,113.844002,7,Sabah,MY-12,12,Pulau Layang-Layang (Swallow Reef),0,,,LAC,"Pulau Layang-Layang, Swallow Reef, Layang-Layang Atoll",50
504745,MY-0044,small_airport,Putrajaya Recreational Airport,2.9027,101.66618,105,Putrajaya (Federal Territory),MY-16,16,Putrajaya,0,,,,,50
32219,WBKR,small_airport,Ranau Airport,5.957793,116.680191,1800,Sabah,MY-12,12,Ranau,0,WBKR,WBKR,RNU,,50
339962,MY-0003,small_airport,Cameron Highlands Airstrip,4.440291,101.421724,,Pahang,MY-06,6,Ringlet,0,,,,,50
32408,WBKH,small_airport,Sahabat [Sahabat 16] Airport,5.087779999,119.0940018,40,Sabah,MY-12,12,Sahabat,0,WBKH,WBKH,SXS,,50
30793,WBGN,small_airport,Sematan Airport,1.812678,109.765391,22,Sarawak,MY-13,13,Sematan,0,WBGN,WBGN,BSE,,50
32330,WBKA,small_airport,Semporna Airport,4.454596,118.595023,60,Sabah,MY-12,12,Semporna,0,WBKA,WBKA,SMM,,50
32352,WBKO,small_airport,Sepulot Airport,4.732999802,116.4670029,800,Sabah,MY-12,12,Sepulot,0,WBKO,WBKO,SPE,,50
41320,MY-SPT,small_airport,Sipitang Airport,5.083333015,115.5500031,44,Sabah,MY-12,12,Sipitang,0,,,SPT,,50
32404,WMBA,small_airport,Sitiawan Airport,4.2222,100.6993,25,Perak,MY-08,8,Sitiawan,0,WMBA,WMBA,SWY,,50
41357,MY-0026,small_airport,Sook Airport,5.141388893,116.3077774,,Sabah,MY-12,12,Sook,0,,,,,50
32289,MY-0048,closed,Simanggang Airport,1.2219,111.4636,47,Sarawak,MY-13,13,Sri Aman,0,,,,"Sri Aman, WBGY, SGG",50
